Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Project [PCB_Project1.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~14:29:09|ReportField=ReportDate~23/09/2018|ReportField=ReportDateTime~23/09/2018 14:29:09|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~50|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~aebec406e7c4e004ca3a0bd12fda6cd3ec81b89c|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~23/09/2018|ReportField=CurrentTime~14:27:15|ReportField=Date~|ReportField=DocumentFullPathAndName~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~19/09/2018|ReportField=Organization~|ReportField=ProjectName~PCB_Project1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project1.PrjPCB|ReportField=DataSourceFullPath~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\PCB_Project1.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|RK1631110TWA|Carbon Film Potentiometer RK163 Series with a 6 mm Dia. Shaft 10k 20% 0.1W|B1, B2, B3, B4|RK1631110TWA|RK1631110TWA|4
2|Cap Semi|Capacitor (Semiconductor SIM Model)|C9, C11|C1206|Cap Semi|2
3|Cap2|Capacitor|C10, C12|CAPR5-4X5|Cap2|2
4|Cap|Capacitor|C?, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10|RAD-0.3|Cap|22
5|Diode 1N4934|1 Amp Fast Recovery Rectifier|D1, D3|DO-41|Diode 1N4934|2
6|Bridge1|Full Wave Diode Bridge|D2|D-38|Bridge1|1
7|MHDR1X2|Header, 2-Pin|P1|MHDR1X2|MHDR1X2|1
8|Res1|Resistor|R?, R1, R2, R3, R4|AXIAL-0.3|Res1|11
9|Trans Ideal|Transformer (Ideal)|T1|TRF_4|Trans Ideal|1
10|LM386M-1/NOPB|Wide Input Voltage Low Power Audio Amplifier with Internal Gain 8-SOIC 0 to 70|U1, U2|SOIC127P600X175-8N|LM386M-1/NOPB|2
11|TDA2005R|Audio Amp Speaker 1-CH Mono/2-CH Stereo 22W Class-B Automotive 11-Pin_11+Tab_ MULTIWATT Tube|U?|TO170P500X1990X2138-11P|TDA2005R|1
12|Volt Reg|Voltage Regulator|VR1|D2PAK_N|Volt Reg|1
