Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project1.PrjPCB|ReportField=ProjectFullPath~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\PCB_Project1.PrjPCB|ReportField=Title~Bill of Materials For Project [PCB_Project1.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~21:33:41|ReportField=ReportDate~27/09/2018|ReportField=ReportDateTime~27/09/2018 21:33:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~38|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~1e96d36f96ff26d381934b19c69d7033127bf097|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27/09/2018|ReportField=CurrentTime~21:33:37|ReportField=Date~|ReportField=DocumentFullPathAndName~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27/09/2018|ReportField=Organization~|ReportField=ProjectName~PCB_Project1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project1.PrjPCB|ReportField=DataSourceFullPath~H:\Jorge\UPM\master\ELAB\Trabajo ELAB\PCB\PCB_Project1.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Header 2|Header, 2-Pin|Altavoz_DRCHA, Altavoz_IZDA, Jack_drcha, Jack_izda|HDR1X2|Header 2|4
2|Cap|Capacitor|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10|RAD-0.3|Cap|10
3|Cap Semi|Capacitor (Semiconductor SIM Model)|C9, C11|C1206|Cap Semi|2
4|Cap2|Capacitor|C10, C12|CAPR5-4X5|Cap2|2
5|Diode 1N4934|1 Amp Fast Recovery Rectifier|D1, D3|DO-41|Diode 1N4934|2
6|Bridge1|Full Wave Diode Bridge|D2|D-38|Bridge1|1
7|LED3|Typical BLUE SiC LED|D4, D5|3.5X2.8X1.9|LED3|2
8|MHDR1X2|Header, 2-Pin|P1|MHDR1X2|MHDR1X2|1
9|Res1|Resistor|R1, R2, R3, R4, R5, R6|AXIAL-0.3|Res1|6
10|RPot|Potentiometer|R7|SOIC127P600X175-8N|RPot|1
11|RPot|Potentiometer|R8, R9, R10|VR5|RPot|3
12|Trans Ideal|Transformer (Ideal)|T1|TRF_4|Trans Ideal|1
13|LM386M-1/NOPB|Wide Input Voltage Low Power Audio Amplifier with Internal Gain 8-SOIC 0 to 70|U1, U2|SOIC127P600X175-8N|LM386M-1/NOPB|2
14|Volt Reg|Voltage Regulator|VR1|D2PAK_N|Volt Reg|1
